"Timestamp","Transaction ID","Transaction Type","Member Name","Initiating Org ID","Duration","Status"
"03/06/2026 18:49:11.823","019cc557318f77c086fb1ac60b1a1f5a","GetDocument_R4","","","43244.5ms","Successful"
"03/06/2026 18:49:10.073","019cc5572ab9721596e5ab22d95e5610","GetPatientLinks","","","989.03ms","Successful"
"03/06/2026 18:49:07.228","019cc5571f9c76cfa3fdbfc2e5298688","","","","1971.03ms","Successful"
"03/06/2026 18:49:06.624","019cc5571d4071c98cfb19ede79ec10a","CreatePatient","","","47.07ms","Successful"
"03/06/2026 18:49:05.904","019cc5571a707929908b8e3420405468","GetPatientByPatientId","","","27.42ms","Successful"
"03/06/2026 18:48:21.730","019cc5566de27ff9a1e87e82331762ea","","","","6735.64ms","Successful"
"03/06/2026 18:48:20.591","019cc556696f75c7837d0a28164f1218","CreatePatient","","","572.89ms","Successful"
"03/06/2026 18:48:19.809","019cc556666171c98f584e654e009c08","GetPatientByPatientId","","","25.81ms","ClientError"
"03/06/2026 18:46:49.528","019cc55505b879759bdd8771bf090c0d","DeletePatientByPatientId","","","68.41ms","Successful"
"03/06/2026 18:45:02.855","019cc5536507761fb0187ce9dc3b614a","GetBinary_R4","","","141.63ms","Successful"
"03/06/2026 18:45:02.816","019cc55364e0750f9a3d3e4c1e231741","GetBinary_R4","","","205.84ms","Successful"
"03/06/2026 18:45:02.812","019cc55364dc71dfa9ff0dca61fdab46","GetBinary_R4","","","218.6ms","Successful"
"03/06/2026 18:45:02.689","019cc55364617d719c73cebee6e91a2e","GetBinary_R4","","","123.84ms","Successful"
"03/06/2026 18:45:02.643","019cc553643378dfb201bcc90ea32681","GetBinary_R4","","","141.88ms","Successful"
"03/06/2026 18:45:02.546","019cc55363d279dd8c92a063d2aebdd6","GetBinary_R4","","","230.32ms","Successful"
"03/06/2026 18:44:14.127","019cc552a6af7a64b9dbcb7a234c90cc","GetDocument_R4","","","43128.44ms","Successful"
"03/06/2026 18:44:12.125","019cc5529edd7856a9fc2983b9e75ac3","GetPatientLinks","","","994.15ms","Successful"
"03/06/2026 18:42:36.982","019cc5512b367252822000061d522e9b","","","","4199.75ms","Successful"
"03/06/2026 18:42:35.857","019cc55126d17a0abc7dbc01c8fcabc4","CreatePatient","","","615.56ms","Successful"
"03/06/2026 18:42:35.033","019cc551239971649de1966fc200b8dd","GetPatientByPatientId","","","94.08ms","ClientError"
